,index,review_id,business_id,useful,text,date,name,address,city,state,postal_code,latitude,longitude,stars_y,is_open,RestaurantsPriceRange,RestaurantsTakeOut,RestaurantsDelivery,WiFi,Trendy,Hipster,Upscale,Touristy,Free Parking,Regions
10,10,qr7acpL3ZzP7cAmXaax93w,kxX2SOes4o-D3ZQBkiMRfA,1,"This place was a great find. I'd say its a 4.5 but just because of the interior decor. The food was really good, that's a solid 5. We had a vegetable samosa, chicken tikka masala, onion kulcha & lamb rogan josh. Go expecting great indian food but not great decor. We were giggling on the paint job, very easy to tell it wasn't done by a professional. It sits right behind Nifty Fifties so it kind of gets lost & not seen well from Grant Ave but so worth the effort.",2015-12-06 01:36:28,Zaika,2481 Grant Ave,Philadelphia,PA,19114,40.0798480557,-75.025079772,4.0,1,1,1,0,0,0,0,0,0,1,3
11,11,E2rc2AjhzYxtoVQigrTpvg,kxX2SOes4o-D3ZQBkiMRfA,1,"I've been here several times. The price is reasonable, food is quite good, and the service as well. I've always ordered take-out. One time I went, and the guy who normally takes my order wasn't there... Instead there were 2 ladies... I think one was the wife of the owner. Or something along those lines. Anyway they were nice but when I came back to pick up my order they handed me the wrong bag (someone else's order). They should have confirmed the contents, but frankly I should have as well, so I accept at least part of the blame. I ended up going all the way home before I realized the screw-up and came back. I wasn't angry but I was definitely hungry and super-annoyed. The two ladies were gracious and apologetic, and they even threw in a courtesy snack for my trouble.",2014-11-13 20:50:21,Zaika,2481 Grant Ave,Philadelphia,PA,19114,40.0798480557,-75.025079772,4.0,1,1,1,0,0,0,0,0,0,1,3
12,12,Sx8TMOWLNuJBWer-0pcmoA,e4Vwtrqf-wpJfwesgvdgxQ,1,"Cute interior and owner (?) gave us tour of upcoming patio/rooftop area which will be great on beautiful days like today. Cheese curds were very good and very filling. Really like that sandwiches come w salad, esp after eating too many curds! Had the onion, gruyere, tomato sandwich. Wasn't too much cheese which I liked. Needed something else...pepper jelly maybe. Would like to see more menu options added such as salads w fun cheeses. Lots of beer and wine as well as limited cocktails. Next time I will try one of the draft wines.",2017-01-14 20:54:15,Melt,2549 Banks St,New Orleans,LA,70119,29.962102,-90.087958,4.0,0,1,1,0,1,0,0,0,0,0,1
13,13,JrIxlS1TzJ-iCu79ul40cQ,04UD14gamNjLY0IDYVhHJg,1,I am a long term frequent customer of this establishment. I just went in to order take out (3 apps) and was told they're too busy to do it. Really? The place is maybe half full at best. Does your dick reach your ass? Yes? Go fuck yourself! I'm a frequent customer AND great tipper. Glad that Kanella just opened. NEVER going back to dmitris!,2015-09-23 23:10:31,Dmitri's,795 S 3rd St,Philadelphia,PA,19147,39.9380132,-75.1481307,4.0,0,1,1,0,0,0,0,0,0,0,3
14,14,UWCX5uj76EZqQRJ_a9E_OA,04UD14gamNjLY0IDYVhHJg,0,"Dmitri's is the best Greek food in town. If you're a seafood lover, go for the shrimp pil pil and the octopus. The grilled lamb and chicken entrees are the only non seafood items, but they're fantastic. Make sure to get the hummus - it comes with unlimited warm grilled pita and baguette.

Also - BYOB! And they don't take reservations. Kitchen closes at 10 so make sure to get there by 9:30.",2015-07-03 19:24:24,Dmitri's,795 S 3rd St,Philadelphia,PA,19147,39.9380132,-75.1481307,4.0,0,1,1,0,0,0,0,0,0,0,3
15,15,zHkS8aDfAy-GoBe0ZtwlVg,04UD14gamNjLY0IDYVhHJg,3,"If I could give this place 6 stars, I would.  Food is consistent, simple, and good.  People who are complaining about the cramped space and pissy waitresses need to relax- this is what a good BYO in a little homey neighborhood in a big city is like.  If you want room, go to Applebee's and request a booth.  Won't miss ya.

My husband and I always get the same thing- 1/2 and 1/2 (a combo plate with half hummus and half baba), sauteed mussels, smelts, shrimp scampi, and grilled octopus.  If we have room, the rice pudding is great.

FYI- plan in plenty of time to find parking, BYO, and cash only.",2010-01-11 00:38:17,Dmitri's,795 S 3rd St,Philadelphia,PA,19147,39.9380132,-75.1481307,4.0,0,1,1,0,0,0,0,0,0,0,3
16,16,HW1OOzrOyyd_Dqiak7GiJQ,04UD14gamNjLY0IDYVhHJg,2,"We love good food and would rather have a fine meal in a mediocre space than a lousy meal in an elegant space.  Alas, our first (and last) experience here gave us a lousy meal in a mediocre setting.

* The space is drab and dreary.
* Tables crammed too close together
* Noise level excessively high - impossible to have a relaxed conversation, have to compete with too-loud talking at too-close tables, flatware and plates rattling on the stone tabletops
* Cheesy, cheap paper napkins at a not-cheap restaurant
* Worn, scuffed, cheap diner-type flatware 
* Bread that came with the hummus was stale, tasteless
* Rice and vegetable accompanied all four entrees - rice tasteless and lukewarm, greens mushy, overcooked, oily and unrecognizable
* Entrees rushed out before we had finished our apps
* For our wine, we were given old, small, worn-out flute-shaped glasses - totally inappropriate 

All in all, an entirely disappointing BYO meal at any cost, but especially so for close to $160 including gratuity for four apps, four entrees, two desserts.",2018-03-23 18:07:25,Dmitri's,795 S 3rd St,Philadelphia,PA,19147,39.9380132,-75.1481307,4.0,0,1,1,0,0,0,0,0,0,0,3
17,17,4HKz5Pcj2Lx1eEjvMevFiA,04UD14gamNjLY0IDYVhHJg,0,"Yes, yes, yes, yesss! Dmitri's is a wonderful BYOB with delicious, fresh, flavorful food. The QV space is tiny, but not cramped. You get a great amount for the price and I have never had a bad dish. Only downside is I have experienced a ""3"" level service on a few occasions, but the food keeps me coming back.",2015-06-09 15:30:37,Dmitri's,795 S 3rd St,Philadelphia,PA,19147,39.9380132,-75.1481307,4.0,0,1,1,0,0,0,0,0,0,0,3
18,26,_ZeMknuYdlQcUqng_Im3yg,LHSTtnW3YHCeUkRDGyJOyw,2,"Amazingly amazing wings and homemade bleu cheese. Had the ribeye: tender, perfectly prepared, delicious. Nice selection of craft beers. Would DEFINITELY recommend checking out this hidden gem.",2015-08-07 02:29:16,Fries Rebellion,1441 S West End Blvd,Quakertown,PA,18951,40.4075374562,-75.3388251276,3.5,0,1,1,0,1,0,0,0,0,1,3
19,27,TP0HYy4GqYtrWMlFIhxw3A,LHSTtnW3YHCeUkRDGyJOyw,4,"We arrived a few minutes early for a 7pm reservation. When we asked for our table, both hostesses looking at their paper, then said they'd have to go check and would be back. 5 minutes later, they returned and did not acknowledge us. Meanwhile, another large party arrived without a reservation and were told it would be a 40 minute wait. We then heard one hostess say to the other that she didn't want to seat them soon because the kitchen was backed up and people were waiting 40 minutes for their appetizers. So unprofessional.
We walked up again, after they continued to ignore us, and asked about our table. They weren't apologetic when they told us that the girl we spoke to earlier that day was new and never recorded our reservation. They continued to tell us that it would be at least a 20 minute wait before they could put our table together. We got a smug ""I'm sorry, but she was new"" and they brushed us off.
I really understand that sometimes things just don't go the way they were supposed to and that people make mistakes. However, a little customer service would have gone a long way. Offer us some water, or a seat at the bar or say that you're doing everything you can to get us in as soon as possible. They basically blew us off and blamed it on the new girl. 
Needless to say we left and I will not be returning.",2016-05-31 01:58:22,Fries Rebellion,1441 S West End Blvd,Quakertown,PA,18951,40.4075374562,-75.3388251276,3.5,0,1,1,0,1,0,0,0,0,1,3
20,28,RkXe6gzU6bfut_Q2W2NpbA,LHSTtnW3YHCeUkRDGyJOyw,0,This is one of my favorite restaurants. They have the best burgers and the most amazing unique menu and a delicious selection of craft beers. Love coming here great food great time.,2017-12-02 23:28:30,Fries Rebellion,1441 S West End Blvd,Quakertown,PA,18951,40.4075374562,-75.3388251276,3.5,0,1,1,0,1,0,0,0,0,1,3
21,29,Wv6ty8iRgaPtqRzQXQiDaA,LHSTtnW3YHCeUkRDGyJOyw,0,"Let me start by saying that my wife and I are vegetarians, so eating most of their more popular dishes isn't possible. But so far what we've been able to eat we've really enjoyed. Our normal visit consist of overindulgence on appetizers. 

The pretzel bites are amazing. Same thing with the grilled brie, apple and honey sandwich (we ditch the bacon...I know, sacrelidge!). But the star of the show is always the fries. We usually get the Smack fries which are outstanding. Also a fan of the fried pickles. 

Misses so far have been the veggie quesadilla (bland and ordinary) and the spinach artichoke dip (pasty and again rather plain). 

Their beer and drink selections are wonderful. 

Only negatives in two visits is the sometimes slow staff (even when not busy) and old ass dilapidated parking lot.",2018-03-23 23:22:00,Fries Rebellion,1441 S West End Blvd,Quakertown,PA,18951,40.4075374562,-75.3388251276,3.5,0,1,1,0,1,0,0,0,0,1,3
22,30,w0cb9xwH5KSgtTpP3DcIVg,LHSTtnW3YHCeUkRDGyJOyw,1,"I wrote this a while ago but never posted it for some reason. Tonight was our first time here & it was excellent! The beer selection was amazing. Our server was great as well. My wife & I split the fried pickles, with the chipotle ranch dipping sauce, and a dozen wings, half 309 recipe & half extra hot. The wings were very good but I could have used a little extra sauce just because that is my preference. The fried pickles were very good but could have been a little more crispy. The chipotle dipping sauce was awesome. My wife & I then split the Belly Buster Burger special, 2 cheeseburger patties, a HUGE slice of pork roll, homemade Thousand Island Dressing & fries! It was awesome! It also came with fries on the side with homemade ketchup as well as homemade chipotle ketchup. Both were amazing. I love ketchup & usually don't like homemade ketchup but theirs was excellent Can't wait to go back!! 

Have been back here a few more times & even ordered take out 3-4 times. It has never disappointed.",2016-01-30 15:55:07,Fries Rebellion,1441 S West End Blvd,Quakertown,PA,18951,40.4075374562,-75.3388251276,3.5,0,1,1,0,1,0,0,0,0,1,3
23,33,l3Wk_mvAog6XANIuGQ9C7Q,EQ-TZ2eeD_E0BHuvoaeG5Q,0,"Locals recommended Milktooth, and it's an amazing jewel of Indianapolis. I'm glade I had the chance to experience this.",2015-08-19 14:31:45,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
24,34,940tqxFO4Pwg_KMg4Y4Z5g,EQ-TZ2eeD_E0BHuvoaeG5Q,2,"Milktooth is the place to go if you want a good breakfast cocktail and a twist on traditional brunch. At first glance of the menu, you may think you've never heard of any of these foods for breakfast, and you may be right. I guarantee no matter what you order, you're going to enjoy it. 

Milktooth is one of the most popular brunch places in Indy, which means you will typically have a wait. Trust me, it's worth the usual 30 minute wait (on weekends). To make it go by a little faster, they've got a walk up bar for their coffee drinks and pastries. Snack on one of those to give you a preview of the amazing meal you're about to have.

Their menu changes from time to time but they have a few things that stay one the menu but change ingredients. I love all of their variations on a Dutch pancake, and their raclette grilled cheese is to die for.  If you're making this a boozy breakfast, don't pass up on the michelada. And sit outside if it's warm enough!",2018-01-10 01:48:58,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
25,35,S-H-Ao17MEYH9cLpvevbnQ,EQ-TZ2eeD_E0BHuvoaeG5Q,1,"Busy place, but we were offered extra- special coffee while we waited. No sooner than it was ready, so was our table. The server was welcoming and offered suggestions for us after we made her aware of some dietary restrictions. My daughter and I shared a salad, entree, and Special grits. Every bite was delicious, beautifully presented, and reasonably priced as downtown prices go. We like this restaurant a lot.",2016-06-11 21:41:05,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
26,36,qNwMUWWtHiTrno15lcX_vw,EQ-TZ2eeD_E0BHuvoaeG5Q,0,Creative food and good. We get coffee or tea while we wait to be seated and even that is a cut above.  We love their Bloody Marys too.  Always interesting and an adventure.,2018-03-04 03:37:44,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
27,37,3jnhCyBDfJ8cWewtlUZaFg,EQ-TZ2eeD_E0BHuvoaeG5Q,0,"Amazing and comfortable atmosphere with extremely unique flavor combinations in the dishes. The Cuban Lamb Frita is a must (add the egg! It's worth it). All of the side items are delicious, you literally can't go wrong. The staff is friendly and they are extremely efficient with the coffee refills. This has quickly become my new regular brunch spot!",2015-08-30 16:58:58,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
28,38,bc_dfXPJsnWNmla3rSMwdw,EQ-TZ2eeD_E0BHuvoaeG5Q,1,"Dayum, that was a good burger. Juicy, glistening melting with cheese - simplistic yet tastes completely different from other burger joints due the quality of the ingredients. Bacon looks good in pictures, but it was a too thick of slice of puuuure white fat, if it would have melted in my mouth it would have worked but it didn't therefore just felt sinful, in a bad way. 

Unfortunately, this communal table trend has got to go. 
I hate it, it's a crap shoot on who your going to get to sit next to and basically listen to a complete strangers stupid conversations. Terrible idea.",2018-09-03 09:08:05,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
29,39,MBDGL1ScIJkDInhBB-vbFQ,EQ-TZ2eeD_E0BHuvoaeG5Q,0,"Went for brunch and arrived around 11am. It was crowded already but we were seated at the counter immediately. We started with the Bottomless Drip coffee and Apple Fritter donuts. Loved the donuts and the coffee's flavor was solid, but it could have been hotter. Although, on the plus side, I didn't have to wait for it to cool down before I could drink it. Our desert was followed by the cheesy blue corn grits with all the extras (I.e. a soft poached egg, scallions and bacon bits). I'm late to the grits game but I loved them. My lovely wife had the bialy (think bagel) and lox, and miso soup. She is more of a foodie than me and a chef to boot. She was quite pleased. Service was average to good. It was cool sitting at the  counter. We got to watch the chefs in action. There was a taller female that was very focused and professional, more than most. When she wasn't cooking she was prepping and/or cleaning. Not sure why this wasn't a five star rating, probably the average service. In the end we had a great dining experience. It was pricey but you pay for what you get.",2017-03-03 21:27:03,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
30,40,ITXPVBkiaZAVbpLsx4M_Ww,EQ-TZ2eeD_E0BHuvoaeG5Q,1,"This place is bananas. I've never had anything bad and most of the time my mind is blown by the innovation and deliciousness of the food. Occasionally I am disappointed by the size of a dish but generally not. 

Service is top notch although not terribly fast. Expect to wait awhile for a coffee drink other than brewed coffee but it will be worth the wait. 

Love the building. Love that the menu changes regularly although sometimes I miss an old favorite. 

Wait for seating can be longish so don't go if you're in a huge hurry. They do have a counter and a community table, which speed things up a bit if you don't mind that.",2015-11-06 02:59:18,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
31,41,_9C_vERT1TU1B_HScLPrdA,EQ-TZ2eeD_E0BHuvoaeG5Q,11,"I went to Milktooth over the weekend and I really wanted to love it but it was just okay.  I read through a few of the reviews before going and wasn't surprised that they were out of the fried chicken when I got there.  I wasn't planning on ordering it anyway but someone in my group tried to.  

I ended up going with the lamb patty melt and while it was good...it wasn't great.  I love having an egg on my sandwich so that was a highlight.  The lamb wasn't that great and it tasted like they combined the lamb meat with some sort of sausage but it don't state so on the menu.   The french fries were good but nothing special.  The lamb stew was the other item I was considering getting so maybe it would be worth going back and trying that.  

If you're a vegetarian you probably want to avoid this place all together because it's not very veggie friendly.  And don't think you can go and order something (like the waffle) without the bacon because your requests for revisions will be ""politely declined"" as it states on the menu.   I like that they tell you ahead of time but it doesn't seem like it would be a terrible thing to request that the cook doesn't sprinkle the bacon on top of the waffle. 

They do have some very interesting drinks and I would consider going there to grab a coffee because the process for coffee seemed to be quite intricate.  

I will say that the their menu has changed since they opened and a lot of what was mentioned in previous reviews is no longer on the menu.",2014-10-27 13:48:47,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
32,42,QvL65iSgxT44s-f-LaFPYA,EQ-TZ2eeD_E0BHuvoaeG5Q,1,"I ordered the shaved zucchini salad- it had a blue cheese yogurt, candied beets, pistachios (I think?) and some greens. Kind of small for $12, but it was good!

Also had the beausoleil oyster with chopped cucumber and some kind of mignette- delightful and you can buy them individually so you don't have to get a full order like many places!

The rose sour cocktail was right up my alley- slightly sweet and made with bubbles- how could I not like it?

We also ordered the sorghum bacon- thick cut like pork belly- sweet sauce! Yummy! 

I really LOVE LOVE LOVE the decor and atmosphere here, eclectic industrial and slightly vintage- so super cute!  

The menu changes quite frequently so be sure to check back often!",2015-08-19 17:50:15,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
33,43,X2YqdHIaeq5ZO71gJ5DdBw,EQ-TZ2eeD_E0BHuvoaeG5Q,0,Great place!!! Always surprise me whenever I visit. I little bit pricey but definitely worth occasionally visiting. Best house made pastry series I ever had in Indy. I feel Coffee actually became second priority here compared to the food. Warning! It can be Qqqquite busy sometimes.,2015-04-15 13:41:37,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
34,44,q6L-YxEbXCA9v-7Ly5t-EA,EQ-TZ2eeD_E0BHuvoaeG5Q,1,"Get the bacon. Get the coffee. Get the pancakes. Get everything. 
(Get your wallet ready too cuz it's not cheap).
Milktooth fulfills all your hipster brunch dreams - from the tatted chefs to the cool-clothed waiters to the converetrd garage dining area. It seems like a pretty exclusive team. However, once you order and wait (for a bit despite the slow Tuesday afternoon), the taste is so worth it. My table got the berry pancakes, the savory pancakes, and the grilled cheese with truffles. I also got the bacon, which came out in thick fat slices. Its probably the best bacon I ever had. 
The mango smoothie rivaled a mango lassi, and everything was really delicious. 
uffle oil with aged cheddar grilled cheese. The grill cheese had the perfect savory combo of sweet n salty topped with an egg cooked just right. You can't get more flavorful than this 
I definitely think this is one of those restaurants that everyone should visit!",2016-07-25 07:24:41,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
35,45,SZ-wvMItkUd-PF-5yK2y0g,EQ-TZ2eeD_E0BHuvoaeG5Q,0,"The breakfast menu and pastry menu changes so some visits I have liked more than others, but I love the way they do there menu, the overall quality is top notch. The food is funky and creative. I would not say its an every weekend brunch spot with the old reliable eggs florentine​/pancakes but it is fun and I love coming here from time to time. Beware the line can get long but they have very good coffee and pastries​ to hold you over while you wait.

p.s. The restaurant​ vibes are great!",2018-05-19 02:27:31,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
36,46,U7HNZQLJYucAqhBEP9w_Ug,EQ-TZ2eeD_E0BHuvoaeG5Q,0,"I love the atmosphere here, and the food is toothsome. All ingredients are incredibly fresh and the dishes are thoughtfully prepared. Their coffee is also excellent.",2015-11-06 03:39:50,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
37,47,uYPIsR2sDh040XrO5aT8kg,EQ-TZ2eeD_E0BHuvoaeG5Q,1,"Excellent food, terrible service. The food is always fabulous, so much so that it would receive a 4-star if the service were good. Each time we have been in it takes 10 minutes to get water and your drink order placed. Then the food for the whole table never comes out together, normally one person is waiting on his/her dish. The ambience and decor is fabulous and I hope with time the service gets on par with the food.",2015-01-18 17:06:36,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
38,48,4otbWUshStc2jchCH3azvw,EQ-TZ2eeD_E0BHuvoaeG5Q,0,"Never, ever disappointed here!  Jonathan is a master of combining unexpected favors, textures, and unique ingredients to yield a mouth orgasm.  Oh yes!",2016-10-14 11:42:16,Milktooth,534 Virginia Ave,Indianapolis,IN,46203,39.7591692208,-86.146494347,4.0,1,1,1,0,1,0,1,0,0,1,2
